company_cd,rr_cd,company_name,company_name_en,company_name_k,company_name_h,company_name_h_en,company_name_r,company_url,company_type,e_status,e_sort
246,99,IRいしかわ鉄道,IR Ishikawa tetsudou,アイアールイシカワテツドウ,IRいしかわ鉄道株式会社,IR Ishikawa tetsudou kabushiki kaisha,いしてつ,http://www.ishikawa-railway.jp,0,0,163
251,99,ハピラインふくい,Happy line Fukui,ハピラインフクイ,株式会社ハピラインふくい,Kabushiki kaisha happy line Fukui,ハピラインふくい,https://www.hapi-line.co.jp/,0,0,163
166,99,のと鉄道,Noto tetsudou,ノトテツ,のと鉄道株式会社,Noto tetsudou kabushiki kaisha,のと鉄,http://www.incl.ne.jp/ntr/,0,0,164
167,99,えちぜん鉄道,Echizen tetsudou,エチゼンテツドウ,えちぜん鉄道株式会社,Echizen tetsudou kabushiki kaisha,えち鉄,http://www.echizen-tetudo.co.jp/,0,0,165
168,99,福井鉄道,Fukui tetsudou,フクイテツドウ,福井鉄道株式会社,Fukui tetsudou kabushiki kaisha,福鉄,http://www.fukutetsu.jp/,0,0,166
169,99,伊豆急行,Izu kyuukou,イズキュウコウ,伊豆急行株式会社,Izu kyuukou kabushiki kaisha,伊豆急,http://www.izukyu.co.jp/,0,0,167
170,99,岳南鉄道,Gakunan tetsudou,ガクナンテツドウ,岳南鉄道株式会社,Gakunan tetsudou kabushiki kaisha,岳南鉄道,http://www.fujikyu.co.jp/gakunan/,0,0,168
171,99,静岡鉄道,Shizuoka tetsudou,シズオカテツドウ,静岡鉄道株式会社,Shizuoka tetsudou kabushiki kaisha,静鉄,http://www.shizutetsu.co.jp/,0,0,169
172,99,天竜浜名湖鉄道,Tenryuu Hamanako tetsudou,テンリュウハマナコテツドウ,天竜浜名湖鉄道株式会社,Tenryuu Hamanako tetsudou kabushiki kaisha,天竜浜名湖鉄道,http://www.tenhama.co.jp/,0,0,170
173,99,遠州鉄道,Enshuu tetsudou,エンシュウテツドウ,遠州鉄道株式会社,Enshuu tetsudou kabushiki kaisha,遠鉄,http://www.entetsu.co.jp/,0,0,171
174,99,大井川鐵道,Ooigawa tetsudou,オオイガワテツドウ,大井川鐵道株式会社,Ooigawa tetsudou kabushiki kaisha,大鐵,http://www.oigawa-railway.co.jp/,0,0,172
175,99,名古屋臨海高速鉄道,Nagoya rinkai kousoku tetsudou,ナゴヤリンカイコウソクテツドウ,名古屋臨海高速鉄道株式会社,Nagoya rinkai kousoku tetsudou kabushiki kaisha,名臨高,http://www.aonamiline.co.jp/,0,0,173
176,99,東海交通事業,Toukai koutsuu jigyou,トウカイコウツウジギョウ,株式会社東海交通事業,Kabushiki kaisha Toukai koutsuu jigyou,東海交通事業,http://www.tkj-i.co.jp/,0,0,174
177,99,愛知環状鉄道,Aichi kanjou tetsudou,アイチカンジョウテツドウ,愛知環状鉄道株式会社,Aichi kanjou tetsudou kabushiki kaisha,愛環,http://www.aikanrailway.co.jp/,0,0,175
178,99,愛知高速交通,Aichi kousoku koutsuu,アイチコウソクコウツウ,愛知高速交通株式会社,Aichi kousoku koutsuu kabushiki kaisha,愛知高速交通,http://www.linimo.jp/,0,0,176
179,99,名古屋市交通局,Nagoya shi koutsuu kyoku,ナゴヤシコウツウキョク,名古屋市交通局,Nagoya shi koutsuu kyoku,名古屋市交通局,http://www.kotsu.city.nagoya.jp/,0,0,177
180,99,桃花台新交通,Touka dai shinkoutsuu,トウカダイシンコウツウ,桃花台新交通株式会社,Touka dai shinkoutsuu kabushiki kaisha,桃花台新交通,,0,2,178
181,99,豊橋鉄道,Toyohashi tetsudou,トヨハシテツドウ,豊橋鉄道株式会社,Toyohashi tetsudou kabushiki kaisha,豊鉄,http://www.toyotetsu.com/,0,0,179
182,99,名古屋ガイドウェイバス,Nagoya guide way bus,ナゴヤガイドウェイバス,名古屋ガイドウェイバス株式会社,Nagoya guide way bus kabushiki kaisha,名古屋ガイドウェイバス,http://www.guideway.co.jp/,0,0,180
183,99,明知鉄道,Meichi tetsudou,アケチテツドウ,明知鉄道株式会社,Meichi tetsudou kabushiki kaisha,明知鉄道,http://www.aketetsu.co.jp/,0,0,181
184,99,長良川鉄道,Nagara kawa tetsudou,ナガラガワテツドウ,長良川鉄道株式会社,Nagara kawa tetsudou kabushiki kaisha,長鉄,http://www.nagatetsu.co.jp/,0,0,182
185,99,樽見鉄道,Tarumi tetsudou,タルミテツドウ,樽見鉄道株式会社,Tarumi tetsudou kabushiki kaisha,樽鉄,http://tarumi-railway.com/,0,0,183
186,99,三岐鉄道,Sangi tetsudou,サンギテツドウ,三岐鉄道株式会社,Sangi tetsudou kabushiki kaisha,三岐鉄道,http://www.sangirail.co.jp/,0,0,184
187,99,伊勢鉄道,Ise tetsudou,イセテツドウ,伊勢鉄道株式会社,Ise tetsudou kabushiki kaisha,伊勢鉄道,http://www.isetetu.co.jp/,0,0,185
188,99,伊賀鉄道,Iga tetsudou,イガテツドウ,伊賀鉄道株式会社,Iga tetsudou kabushiki kaisha,伊賀鉄道,http://www.igatetsu.co.jp/,0,0,186
189,99,養老鉄道,Yourou tetsudou,ヨウロウテツドウ,養老鉄道株式会社,Yourou tetsudou kabushiki kaisha,養老鉄道,http://www.yororailway.co.jp/,0,0,187
247,99,四日市あすなろう鉄道,Yokkaichi asunarou tetsudou,ヨッカイチアスナロウテツドウ,四日市あすなろう鉄道株式会社,Yokkaichi asunarou tetsudou kabushiki kaisha,あすてつ,,0,0,187
190,99,近江鉄道,Oumi tetsudou,オウミテツドウ,近江鉄道株式会社,Oumi tetsudou kabushiki kaisha,近江鉄道,http://www.ohmitetudo.co.jp/,0,0,188
191,99,信楽高原鐵道,Shigaraki kougen tetsudou,シガラキコウゲンテツドウ,信楽高原鐵道株式会社,Shigaraki kougen tetsudou kabushiki kaisha,信楽高原鐵道,http://www.biwa.ne.jp/skr/,0,0,189
192,99,嵯峨野観光鉄道,Sagano kankou tetsudou,サガノカンコウテツドウ,嵯峨野観光鉄道株式会社,Sagano kankou tetsudou kabushiki kaisha,嵯峨野トロッコ,http://www.sagano-kanko.co.jp/,0,0,190
193,99,叡山電鉄,Eizan dentetsu,エイザンデンテツ,叡山電鉄株式会社,Eizan dentetsu kabushiki kaisha,叡電,http://eizandensha.co.jp/,0,0,191
194,99,京都丹後鉄道,Kyoto Tango tetsudou,キョウトタンゴテツドウ,WILLER TRAINS株式会社,WILLER TRAINS kabushiki kaisha,丹鉄,http://travel.willer.co.jp/campaign/tantetsu/,0,0,192
195,99,京都市交通局,Kyoto shi koutsuu kyoku,キョウトシコウツウキョク,京都市交通局,Kyoto shi koutsuu kyoku,京都市交通局,http://www.city.kyoto.lg.jp/kotsu/,0,0,193
196,99,京福電気鉄道,Keifuku denki tetsudou,ケイフクデンキテツドウ,京福電気鉄道株式会社,Keifuku denki tetsudou kabushiki kaisha,京福電気鉄道,http://www.keifuku.co.jp/,0,0,194
197,99,北大阪急行電鉄,Kita Osaka kyuukou dentetsu,キタオオサカキュウコウデンテツ,北大阪急行電鉄株式会社,Kita Osaka kyuukou dentetsu kabushiki kaisha,北急,http://www.kita-kyu.co.jp/,3,0,195
198,99,泉北高速鉄道,Senboku kousoku tetsudou,センボクコウソクテツドウ,泉北高速鉄道株式会社,Senboku kousoku tetsudou kabushiki kaisha,泉北高速,https://www.semboku.jp/,3,0,196
199,99,水間鉄道,Mizuma tetsudou,ミズマテツドウ,水間鉄道株式会社,Mizuma tetsudou kabushiki kaisha,水鉄,http://www.suitetsu.com/,0,0,197
